Year,Month,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
2003,3,13.5,-28.5,-3.3903225806451616,1.303225806451613,1.3838709677419354,2.6870967741935483
2003,4,25.2,-10.0,4.110344827586207,1.0999999999999999,0.4620689655172413,1.5620689655172413
2003,5,26.9,2.1,13.45483870967742,4.932258064516129,0.0,4.932258064516129
2003,6,32.9,6.2,19.046666666666667,1.7533333333333334,0.0,1.7533333333333334
2003,7,31.5,10.6,20.96451612903226,3.674193548387097,0.0,3.674193548387097
2003,8,31.0,8.0,21.458064516129035,3.135483870967742,0.0,3.135483870967742
2003,9,29.6,4.0,17.223333333333336,2.466666666666667,0.0,2.466666666666667
2003,10,24.0,-2.1,7.603225806451612,4.690322580645161,0.0,4.690322580645161
2003,11,16.6,-9.0,2.79,3.17,0.43,3.506666666666667
2003,12,4.8,-16.6,-4.387096774193548,2.883870967741936,0.7516129032258064,3.635483870967742
2004,1,5.2,-29.6,-14.67741935483871,0.08387096774193549,1.2903225806451613,0.9903225806451613
2004,2,7.7,-24.3,-7.2620689655172415,0.0,1.0620689655172415,0.9724137931034483
2004,3,16.7,-16.7,0.4548387096774194,1.8516129032258064,0.4838709677419355,2.3225806451612905
2004,4,26.3,-11.2,6.326666666666667,2.243333333333333,0.3,2.5433333333333334
2004,5,30.2,-1.2,13.470967741935485,3.167741935483871,0.0,3.167741935483871
2004,6,30.5,6.4,17.636666666666667,2.506666666666667,0.0,2.506666666666667
2004,7,29.5,9.0,20.822580645161292,2.1258064516129034,0.0,2.1258064516129034
2004,8,29.0,6.5,18.94193548387097,2.7129032258064516,0.0,2.7129032258064516
2004,9,29.1,3.9,16.653333333333332,4.59,0.0,4.59
2004,10,24.7,-2.6,9.174193548387096,2.3129032258064517,0.0,2.3129032258064517
2004,11,14.7,-8.3,2.35,2.6599999999999997,0.21333333333333335,2.8733333333333335
2004,12,8.0,-30.0,-8.096774193548388,1.506451612903226,1.5709677419354837,3.0161290322580645
2005,1,11.8,-28.1,-11.538709677419355,0.5451612903225806,0.9451612903225807,1.3903225806451613
2005,2,6.6,-20.5,-6.653571428571429,0.3,1.0535714285714286,1.3535714285714284
2005,3,13.5,-19.7,-3.274193548387097,0.2903225806451613,0.6129032258064516,0.9032258064516129
2005,4,25.5,-2.2,7.343333333333334,4.493333333333334,0.13333333333333333,4.626666666666667
2005,5,28.1,-1.6,11.741935483870968,1.2483870967741935,0.0,1.2483870967741935
2005,6,33.0,7.9,21.43,3.5733333333333333,0.0,3.5733333333333333
2005,7,33.2,8.5,22.606451612903225,3.0580645161290323,0.0,3.0580645161290323
2005,8,33.8,9.7,21.683870967741935,2.42258064516129,0.0,2.42258064516129
2005,9,31.3,2.5,17.696666666666665,3.396666666666667,0.0,3.396666666666667
2005,10,28.0,-3.1,10.077419354838709,2.8806451612903228,0.0,2.8806451612903228
2005,11,18.2,-15.0,2.7533333333333334,3.033333333333333,0.4166666666666667,3.45
2005,12,3.1,-21.5,-5.683870967741936,1.1064516129032258,1.5161290322580645,2.6225806451612903
